name,type,description,equations_used_in
k_F17_F18_forty,"AB40 Fibril","Forward rate: AB40 fibril size 17 to 18","AB40_Fibril17, AB40_Fibril18, AB40_Monomer"
k_F17_F18_fortytwo,"AB42 Fibril","Forward rate: AB42 fibril size 17 to 18","AB42_Fibril17, AB42_Fibril18, AB42_Monomer"
k_F17_O16_forty,"AB40 Transition","Backward transition: AB40 fibril size 17 to oligomer size 16","AB40_Fibril17, AB40_Monomer, AB40_Oligomer16"
k_F17_O16_fortytwo,"AB42 Transition","Backward transition: AB42 fibril size 17 to oligomer size 16","AB42_Fibril17, AB42_Monomer, AB42_Oligomer16"
k_F18_F17_forty,"AB40 Fibril","Backward rate: AB40 fibril size 18 to 17","AB40_Fibril17, AB40_Fibril18, AB40_Monomer"
k_F18_F17_fortytwo,"AB42 Fibril","Backward rate: AB42 fibril size 18 to 17","AB42_Fibril17, AB42_Fibril18, AB42_Monomer"
k_F18_F19_forty,"AB40 Fibril","Forward rate: AB40 fibril size 18 to 19","AB40_Fibril18, AB40_Fibril19, AB40_Monomer"
k_F18_F19_fortytwo,"AB42 Fibril","Forward rate: AB42 fibril size 18 to 19","AB42_Fibril18, AB42_Fibril19, AB42_Monomer"
k_F19_F18_forty,"AB40 Fibril","Backward rate: AB40 fibril size 19 to 18","AB40_Fibril18, AB40_Fibril19, AB40_Monomer"
k_F19_F18_fortytwo,"AB42 Fibril","Backward rate: AB42 fibril size 19 to 18","AB42_Fibril18, AB42_Fibril19, AB42_Monomer"
k_F19_F20_forty,"AB40 Fibril","Forward rate: AB40 fibril size 19 to 20","AB40_Fibril19, AB40_Fibril20, AB40_Monomer"
k_F19_F20_fortytwo,"AB42 Fibril","Forward rate: AB42 fibril size 19 to 20","AB42_Fibril19, AB42_Fibril20, AB42_Monomer"
k_F20_F19_forty,"AB40 Fibril","Backward rate: AB40 fibril size 20 to 19","AB40_Fibril19, AB40_Fibril20, AB40_Monomer"
k_F20_F19_fortytwo,"AB42 Fibril","Backward rate: AB42 fibril size 20 to 19","AB42_Fibril19, AB42_Fibril20, AB42_Monomer"
k_F20_F21_forty,"AB40 Fibril","Forward rate: AB40 fibril size 20 to 21","AB40_Fibril20, AB40_Fibril21, AB40_Monomer"
k_F20_F21_fortytwo,"AB42 Fibril","Forward rate: AB42 fibril size 20 to 21","AB42_Fibril20, AB42_Fibril21, AB42_Monomer"
k_F21_F20_forty,"AB40 Fibril","Backward rate: AB40 fibril size 21 to 20","AB40_Fibril20, AB40_Fibril21, AB40_Monomer"
k_F21_F20_fortytwo,"AB42 Fibril","Backward rate: AB42 fibril size 21 to 20","AB42_Fibril20, AB42_Fibril21, AB42_Monomer"
k_F21_F22_forty,"AB40 Fibril","Forward rate: AB40 fibril size 21 to 22","AB40_Fibril21, AB40_Fibril22, AB40_Monomer"
k_F21_F22_fortytwo,"AB42 Fibril","Forward rate: AB42 fibril size 21 to 22","AB42_Fibril21, AB42_Fibril22, AB42_Monomer"
k_F22_F21_forty,"AB40 Fibril","Backward rate: AB40 fibril size 22 to 21","AB40_Fibril21, AB40_Fibril22, AB40_Monomer"
k_F22_F21_fortytwo,"AB42 Fibril","Backward rate: AB42 fibril size 22 to 21","AB42_Fibril21, AB42_Fibril22, AB42_Monomer"
k_F22_F23_forty,"AB40 Fibril","Forward rate: AB40 fibril size 22 to 23","AB40_Fibril22, AB40_Fibril23, AB40_Monomer"
k_F22_F23_fortytwo,"AB42 Fibril","Forward rate: AB42 fibril size 22 to 23","AB42_Fibril22, AB42_Fibril23, AB42_Monomer"
k_F23_F22_forty,"AB40 Fibril","Backward rate: AB40 fibril size 23 to 22","AB40_Fibril22, AB40_Fibril23, AB40_Monomer"
