name,value,unit,description
AB40_IDE_Kcat_baseline,30000.0,"1 / h","Maximum rate of IDE removal of AB40 monomer.  . "
AB40_IDE_Kcat_exp,1500.0,"1 / h","Maximum rate of IDE removal of AB40 monomer with exponential decline. "
AB40_Plaque_Driven_Mono_Add_Vmax_baseline,0.05,"DIMENSIONLESS","Maximum rate for addition of monomer to monomer, oligomer, or fibril catalysed by plaque for AB40.   "
AB40__CSF,0.00074,"1 / h","Rate for Abeta 40 leaving brain and entering CSF transit compartment   "
AB40__CSF_kdelay,0.666,"1 / h","Transit compartment rate for Abeta 40 leaving brain and entering CSF."
AB42_IDE_Kcat_baseline,50.0,"1 / h","Maximum rate of IDE removal of AB42 monomer.  . "
AB42_IDE_Kcat_exp,50.0,"1 / h","Maximum rate of IDE removal of AB42 monomer with exponential decline. "
AB42_Plaque_Driven_Mono_Add_Vmax_baseline,0.07,"DIMENSIONLESS","Maximum rate for addition of monomer to monomer, oligomer, or fibril catalysed by plaque for AB42.   "
AB42__CSF,0.00074,"1 / h","Rate for Abeta 42 leaving brain and entering CSF transit compartment   "
AB42__CSF_kdelay,0.666,"1 / h","Transit compartment rate for Abeta 42 leaving brain and entering CSF."
Antibody_AB40_bound_deg,1.0,"1 / h","rate constant for removal of antibody bound AB40 (assumes this is same irrespective of monomer, oligomer or fibril length)"
Antibody_AB40_koff,0.001,"1 / h","binding constant for antibody to AB40 (assumes binding is same irrespective of monomer, oligomer or fibril length, and  no binding to plaque occurs).   "
Antibody_AB40_kon,1.0,"L / (nano * mol * h)","binding constant for antibody to AB40 (assumes binding is same irrespective of monomer, oligomer or fibril length, and  no binding to plaque occurs).  "
Antibody_AB42_bound_deg,1.0,"1 / h","rate constant for removal of antibody bound AB42 (assumes this is same irrespective of monomer, oligomer or fibril length).  "
Antibody_AB42_koff,0.001,"1 / h","binding constant for antibody to AB42 (assumes binding is same irrespective of monomer, oligomer or fibril length, and  no binding to plaque occurs).  "
Antibody_AB42_kon,1.0,"L / (nano * mol * h)","binding constant for antibody to AB42 (assumes binding is same irrespective of monomer, oligomer or fibril length, and  no binding to plaque occurs).   "
BackHillA,2.5,"DIMENSIONLESS","Hill coeficient for extrapolation of backwards rate constants for Ab40 aggregation"
BackHillB,3.0,"DIMENSIONLESS","Hill coeficient for extrapolation of backwards rate constants for Ab42 aggregation"
Basal_CL_Ban2401,0.0191,"L / h","Basal value of Ban2401 pk model clearance CL = 0.0191 L/h * (Albumin/43)^-0.267 * 0.786^sex * (Wt/73.6kg)^0.384 "
Basal_CL_Bapineuzumab,0.007251,"L / h","Basal value of Bapineuzumab pk model clearance  CL = 0.007251 L/h * (Wt/70kg)^0.64 * (1.15^race)"
Basal_Vcent_Ban2401,3.18,"L","Basal value of Ban2401 pk model central compartment volume Vcent = 3.18 L * 0.904^sex * (Wt/73.6kg)^0.621"
Basal_Vcent_Bapineuzumab,3.13,"L","Basal value of Bapineuzumab pk model central compartment volume V1 = 3.13 L * (Wt/70kg)^0.78"
