time,[AB42_O1_ISF],[AB42_O25_ISF],[IDE_activity_ISF],[AB42_O2_ISF],[AB42_O3_ISF],[AB42_O4_ISF],[AB42_O5_ISF],[AB42_O6_ISF],[AB42_O7_ISF],[AB42_O8_ISF],[AB42_O9_ISF],[AB42_O10_ISF],[AB42_O11_ISF],[AB42_O12_ISF],[AB42_O13_ISF],[AB42_O14_ISF],[AB42_O15_ISF],[AB42_O16_ISF],[AB42_O17_ISF],[AB42_O18_ISF],[AB42_O19_ISF],[AB42_O20_ISF],[AB42_O21_ISF],[AB42_O22_ISF],[AB42_O23_ISF],[AB42_O24_ISF]
0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2929.7658862876256,1.8764961479806606,1.5122657398188956e-06,396.638237234288,5.913675483388615e-05,2.3524778610026222e-05,1.959424331321813e-05,1.6136038956983512e-05,1.322493930166611e-05,1.0802740434818819e-05,8.786022322795403e-06,7.096458071485227e-06,6.717705320900051e-06,6.187489499480997e-06,5.496866123392034e-06,4.512276705883298e-06,3.5410251877594087e-06,2.6480967302519795e-06,1.883948039913046e-06,1.2909511071644813e-06,8.401219420359716e-07,5.335637898479774e-07,3.216558448519334e-07,1.8437395479537143e-07,1.0066841482540995e-07,5.247849199288358e-08,4.768632344594672e-08
5859.531772575251,1.8842769284534495,1.504601738628718e-05,393.3047280908085,5.962818031753592e-05,2.3737685651749674e-05,1.9786776150300145e-05,1.630888673947033e-05,1.3384162163876072e-05,1.0961778588448133e-05,8.968193307526397e-06,7.3350763441755815e-06,7.168716910896625e-06,7.0057834175272825e-06,7.368067676627323e-06,6.799191864535421e-06,6.2813599425003486e-06,5.807121259716887e-06,5.3680493662456224e-06,5.047330275803838e-06,4.728431313624752e-06,4.589053055129111e-06,4.407686664164455e-06,4.175212665124195e-06,3.887675114085148e-06,3.5719582762591596e-06,1.4838914493617487e-05
8789.297658862877,1.8920894678492086,3.353766285806055e-05,389.99923511462305,6.012365792297659e-05,2.3952411527905534e-05,1.998069507741173e-05,1.6481117322157184e-05,1.3535722622399157e-05,1.1094300308703641e-05,9.083496825816614e-06,7.435013489341079e-06,7.267171452420418e-06,7.1072915800894755e-06,9.202615396901228e-06,8.474848738710237e-06,7.801701099701844e-06,7.1795750055214815e-06,6.6054514794351034e-06,6.189547545757922e-06,5.799918649670561e-06,5.67068850030105e-06,5.545641380754655e-06,5.425414641555505e-06,5.310508655841209e-06,5.3232159485748905e-06,5.569057039417991e-05
11719.063545150502,1.8999338613532926,5.650997656835855e-05,386.7215228464619,6.062321869441163e-05,2.416900475683507e-05,2.0176399639205946e-05,1.6655028496637313e-05,1.3688849666492212e-05,1.122827153428596e-05,9.200131264327946e-06,7.536159137308393e-06,7.3667617043908315e-06,7.210050003105739e-06,1.1157166101452318e-05,1.0302991567576347e-05,9.512093982516004e-06,8.780028681899745e-06,8.102922499001353e-06,7.615971171694335e-06,7.157408484633362e-06,7.017018162896802e-06,6.877533977590841e-06,6.738923617931404e-06,6.601764156277781e-06,6.697353458292549e-06,9.88944543970652e-05
14648.829431438127,1.9078102359274312,8.431739036753756e-05,383.4713578059502,6.112689598462128e-05,2.4387481044588697e-05,2.0373905301697905e-05,1.6830635427838026e-05,1.3843558265831842e-05,1.136370709946288e-05,9.318113103142237e-06,7.63853773747029e-06,7.467573965599142e-06,7.31424782841562e-06,1.3221182614588384e-05,1.2230771533556103e-05,1.1312463607125648e-05,1.0461297511264013e-05,9.672975927197613e-06,9.109170051941523e-06,8.57774232196885e-06,8.427669188632839e-06,8.278798943248227e-06,8.131145102149816e-06,7.98558814867411e-06,8.187967795924253e-06,0.00014501957828923527
17578.595317725754,1.9157187182335604,0.00011726365524821564,380.24850847497754,6.163472336097642e-05,2.460785620430732e-05,2.0573227719341415e-05,1.7007953422438613e-05,1.3999863292715225e-05,1.150062140355494e-05,9.437456193793903e-06,7.742162526882584e-06,7.569621524764413e-06,7.419923676690028e-06,1.540227488707934e-05,1.4268492219115943e-05,1.321610818633994e-05,1.2239590304165386e-05,1.133415960361698e-05,1.068927538787808e-05,1.0080837495364374e-05,9.920398183429005e-06,9.761185346091331e-06,9.603213061385547e-06,9.447677058084915e-06,9.76180812769832e-06,0.000194216354118066
20508.361204013378,1.923659435448269,0.0001556760532297111,377.0527452811903,6.21467346653312e-05,2.4830146179391414e-05,2.0774382672674718e-05,1.7186997916807586e-05,1.415777975313133e-05,1.1639028958949078e-05,9.558174512451035e-06,7.847046915365332e-06,7.672917749336845e-06,7.5271020298442385e-06,1.7706487814518898e-05,1.6421572523410456e-05,1.5227829966634875e-05,1.4119132745292495e-05,1.3090200779106674e-05,1.2359679922722033e-05,1.1669916730710448e-05,1.149863682593268e-05,1.132864432150303e-05,1.1159957912725535e-05,1.0994102031727055e-05,1.1426811006124103e-05,0.0002466663002750269
23438.127090301005,1.9316325152260896,0.00019990049691530486,373.8838405815745,6.266296401348927e-05,2.5054367044195233e-05,2.0977386074484396e-05,1.7367784477729438e-05,1.4317322781732055e-05,1.1778944414024052e-05,9.680282167651363e-06,7.953204420336659e-06,7.777476132713396e-06,7.635809596424637e-06,2.0140444181095642e-05,1.869626692247381e-05,1.7353539914478277e-05,1.6105510232440495e-05,1.4946370300235562e-05,1.412541716502783e-05,1.3349765335387637e-05,1.3167100221544767e-05,1.298577736808442e-05,1.2805818535847472e-05,1.2629093176338963e-05,1.3187355254562507e-05,0.00030256132891712576
26367.89297658863,1.9396380857025854,0.0002503033352328337,370.7415686456949,6.318344579757009e-05,2.5280535005045713e-05,2.118225396982268e-05,1.7550328804786993e-05,1.447850764514449e-05,1.1920382542415431e-05,9.803793392876082e-06,8.060648695075228e-06,7.883310301727373e-06,7.74607362549482e-06,2.2711078964183103e-05,2.1099074405628305e-05,1.9599325949013623e-05,1.8204426113454157e-05,1.690801454005972e-05,1.59915770935772e-05,1.5125236928249613e-05,1.4930631355323307e-05,1.4737430063294734e-05,1.4545658360597896e-05,1.4357547574706364e-05,1.504878703097151e-05,0.0003621044745262764
