time,[AB42_O1_ISF],[AB42_O25_ISF],[IDE_activity_ISF],[AB42_O2_ISF],[AB42_O3_ISF],[AB42_O4_ISF],[AB42_O5_ISF],[AB42_O6_ISF],[AB42_O7_ISF],[AB42_O8_ISF],[AB42_O9_ISF],[AB42_O10_ISF],[AB42_O11_ISF],[AB42_O12_ISF],[AB42_O13_ISF],[AB42_O14_ISF],[AB42_O15_ISF],[AB42_O16_ISF],[AB42_O17_ISF],[AB42_O18_ISF],[AB42_O19_ISF],[AB42_O20_ISF],[AB42_O21_ISF],[AB42_O22_ISF],[AB42_O23_ISF],[AB42_O24_ISF]
0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2929.7658862876256,2.700355435759434,1.6722691156005636e-08,257.79748203281116,5.679560387825619e-05,7.549519858944446e-05,0.0002479711728180393,0.00022435423888822513,0.0010221957769003403,0.000441757437125917,0.0001746859896886733,6.190343570930378e-05,2.6920915515106786e-05,9.589799370090375e-06,2.8920835216526834e-06,7.46222320084773e-07,1.705944050242971e-07,3.5021705943306404e-08,6.526638637526956e-09,1.1321760878734964e-09,1.8079742236905574e-10,2.69826153443294e-11,3.750111015095704e-12,4.879020953157319e-13,5.969290790349265e-14,6.8949618324702895e-15,6.399605320987468e-16
5859.531772575251,2.7112810628573025,1.4867641666258406e-06,255.61362208637564,5.7255936291320306e-05,7.611585789509669e-05,0.00025011372617997623,0.00022643800690622467,0.0010516651451489725,0.0004876808468135883,0.00022500697574038222,0.0001029368544233888,8.006949477783282e-05,5.515053507741969e-05,3.3441822897389194e-05,1.7436987015224493e-05,8.155203787157192e-06,3.4475253228749784e-06,1.3274532076416368e-06,4.848092386959114e-07,1.6261887206853094e-07,5.131576310070603e-08,1.502249279377354e-08,4.1021835049851875e-09,1.0498662424631387e-09,2.5278853257905007e-10,4.191463298646247e-11
8789.297658862877,2.7222487552111185,1.0378382011151364e-05,253.44826210443952,5.7719908865434926e-05,7.674146200809475e-05,0.0002522737004665521,0.00022848641865302159,0.0010636973381498134,0.0004950692510037672,0.00023031585884984688,0.0001075847800019181,9.391024084703565e-05,7.900559548299646e-05,6.272319836126168e-05,4.448006791963707e-05,2.9292909986548164e-05,1.7856233073067136e-05,1.0077891694782593e-05,5.546468162069098e-06,2.8191718220368558e-06,1.3650861522005787e-06,6.137121036617234e-07,2.574049292108447e-07,1.0115855599674181e-07,3.735525398055507e-08,8.298956658099922e-09
11719.063545150502,2.733258600443079,3.027652685374087e-05,251.301245369679,5.818754714331954e-05,7.737204590450489e-05,0.00025445139033958937,0.00023055150990816797,0.001075644743982538,0.0005017309024482286,0.00023395924683891267,0.00010962299349002874,9.723356346631572e-05,8.56096479497384e-05,7.443590497422383e-05,5.950039913346113e-05,4.591730531271216e-05,3.387733580272376e-05,2.37463721595106e-05,1.6789016787312332e-05,1.111502544241335e-05,7.139677749768551e-06,4.283094618829438e-06,2.40653534873328e-06,1.2702837445738676e-06,6.303537803888636e-07,1.6753385018874187e-07
14648.829431438127,2.744310734041817,5.922331035632857e-05,249.17241649235748,5.865887841040391e-05,7.800764680265626e-05,0.00025664693226195136,0.00023263402035258448,0.0010877129054746174,0.0005084606247223346,0.00023761278287442336,0.00011158075016611492,9.91970541696937e-05,8.810740898095671e-05,8.07849954736128e-05,6.630819740610445e-05,5.400746903523884e-05,4.327230664284502e-05,3.3848985290681344e-05,2.763861386232882e-05,2.1574413969724176e-05,1.6725722090740944e-05,1.2251375292078491e-05,8.476137324694566e-06,5.542765014922326e-06,3.4165429870550317e-06,1.0232852136491983e-06
17578.595317725754,2.755405293130966,9.422526466556148e-05,247.06162139907968,5.9133930107732835e-05,7.864830212665534e-05,0.0002588604616192363,0.00023473409184705322,0.0010999055825163214,0.0005152729685485488,0.00024131789029208957,0.00011356490055088831,0.00010103179603115526,9.001443255621942e-05,9.024998198867268e-05,7.328940431377206e-05,5.975452999757272e-05,4.874020375310827e-05,3.961258555122192e-05,3.454447228701885e-05,2.9471706802526388e-05,2.562090201012397e-05,2.140331546868752e-05,1.7112202575396953e-05,1.3062428375927656e-05,9.451322802976001e-06,3.074056482804818e-06
20508.361204013378,2.766542418308333,0.0001342657588291331,244.96870732164038,5.961273016109748e-05,7.929404995694788e-05,0.0002610921160777191,0.0002368518608240542,0.0011122239569941468,0.0005221690449384368,0.00024507607751164505,0.00011558111378391787,0.00010288065397281158,9.196208249735503e-05,0.00010418530731505638,8.383946519322607e-05,6.763185790275645e-05,5.4739057108511644e-05,4.44914631993184e-05,3.93585967514958e-05,3.468201401015305e-05,3.184769070454203e-05,2.864968754667502e-05,2.5082383861683204e-05,2.1257705254199892e-05,1.7230386885530888e-05,5.929764648870996e-06
23438.127090301005,2.7777222549605693,0.00018009486195018484,242.89352278596792,6.009530703076154e-05,7.994492910326918e-05,0.0002633420359287621,0.0002389874662184231,0.001124669202314083,0.0005291497884290526,0.0002488880684395053,0.00011763031623089565,0.00010475999621078321,9.398535656014499e-05,0.00011933535420395692,9.65236910381668e-05,7.788860943815017e-05,6.280427709440296e-05,5.075207675196803e-05,4.467838508901108e-05,3.9435584222200935e-05,3.67171700484709e-05,3.3997655856294424e-05,3.113025960103225e-05,2.8019312367341568e-05,2.4403367597325544e-05,8.71011836698556e-06
26367.89297658863,2.7889449512075926,0.00023262301913636719,240.83591760116093,6.058168949679977e-05,8.060097881467097e-05,0.0002656103630885147,0.00024114104860405934,0.0011372425048961502,0.0005362161382132392,0.00025275456784331236,0.0001197130450296091,0.00010667069976106919,9.601771905215126e-05,0.00013274428969273168,0.00010857746553214757,8.84541322926855e-05,7.180488285369689e-05,5.8216802071839026e-05,5.122794968655501e-05,4.511261111248953e-05,4.196030845166238e-05,3.902605947976198e-05,3.622183093080858e-05,3.342820239893381e-05,3.0185393361147444e-05,1.0998582850504523e-05
